Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Latest_NAV_Date,Average_AUM_Cr,AAUM_Quarter,ISIN_Div_Payout/Growth,ISIN_Div_Reinvestment,ISIN_Div_Payout/Growth/Div_Reinvestment,Launch_Date,Closure_Date
154307,JioBlackRock Large Cap Fund,Jio BlackRock Asset Management Private Limited,Open Ended,Equity Scheme - Large Cap Fund,JioBlackRock Large Cap Fund - Direct Plan - Growth Option,Rs. 500/- and any amount thereafter.,10.0324,2026-07-17,,,INF22M001176,-,INF22M001176,2026-03-24,
119598,SBI Large Cap Fund,SBI Funds Management Limited,Open Ended,Equity Scheme - Large Cap Fund,SBI Large Cap FUND-DIRECT PLAN -GROWTH,5000,105.185,2026-07-17,15773.4284,April - June 2026,INF200K01QX4,-,INF200K01QX4,2005-12-23,
148507,Sundaram Large Cap Fund ( Formerly Know as Sundaram Blue Chip Fund),Sundaram Asset Management Company Ltd,Open Ended,Equity Scheme - Large Cap Fund,Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund)Direct Plan - Growth,100,22.6013,2026-07-17,292.8996,April - June 2026,INF903JA1JC0,-,INF903JA1JC0,2020-09-17,
150797,WhiteOak Capital Large Cap Fund,WhiteOak Capital Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,WhiteOak Capital Large Cap Fund Direct Plan Growth,500/- and in multiple of Re. 1/- thereafter,15.894,2026-07-17,130.9652,April - June 2026,INF03VN01696,-,INF03VN01696,2022-11-10,2022-11-24
120267,LIC MF Large Cap Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,LIC MF Large Cap Fund-Direct Plan-Growth,Rs. 2000,61.2867,2026-07-17,284.93240000000003,April - June 2026,INF767K01EJ7,-,INF767K01EJ7,1994-09-01,1994-09-15
152354,Motilal Oswal Large Cap Fund,Motilal Oswal Asset Management Company Limited,Open Ended,Equity Scheme - Large Cap Fund,Motilal Oswal Large Cap Direct Plan Growth,500,14.1993,2026-07-17,1166.7404,April - June 2026,INF247L01CE3,-,INF247L01CE3,2024-01-17,
120656,UTI - Large Cap Fund,UTI Asset Mgmt. Co. Ltd.,Open Ended,Equity Scheme - Large Cap Fund,UTI Large Cap Fund - Direct Plan - Growth Option,5000,294.1408,2026-07-17,1333.204,April - June 2026,INF789F01US8,-,INF789F01US8,2003-02-01,
119528,Aditya Birla Sun Life Large Cap Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Large Cap Fund,Aditya Birla Sun Life Large Cap Fund - Growth - Direct Plan,5000,578.05,2026-07-17,,,INF209K01YY7,-,INF209K01YY7,2002-09-23,
119018,HDFC Large Cap Fund,HDFC Asset Management Company Limited,Open Ended,Equity Scheme - Large Cap Fund,HDFC Large Cap Fund - Growth Option - Direct Plan,For new investors  Rs.5000 For existing Rs. 1000,1239.108,2026-07-17,10397.7551,April - June 2026,INF179K01YV8,-,INF179K01YV8,1996-08-19,2000-08-09
120392,Invesco India Largecap Fund,Invesco Asset Management (India) Private Limited,Open Ended,Equity Scheme - Large Cap Fund,Invesco India Largecap Fund - Direct Plan - Growth,Rs. 5000/- and in multiples of Re.1/- thereafter.,87.26,2026-07-17,313.0063,April - June 2026,INF205K01LB0,-,INF205K01LB0,2009-07-10,2009-07-31
